,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
0,harris,0,0.0,3450.7,4014.6,1.1634161184687166,270
1,harris,1,0.0,2987.1,3146.9,1.0534967024873625,86
2,harris,2,0.0,3390.0,4016.3,1.1847492625368732,47
3,harris,3,0.0,3319.4,3622.0,1.0911610532023859,85
4,harris,4,0.0,2871.0,3273.5,1.1401950539881573,106
5,harris,5,0.0,2353.4,3305.2,1.4044361349536838,25
6,harris,6,0.0,2169.4,2883.4,1.3291232598875264,50
7,harris,7,0.0,2731.8,3346.5,1.225016472655392,51
8,harris,8,0.0,2414.2,3386.0,1.4025350012426478,50
9,harris,9,0.0,2418.4,3278.8,1.3557724115117433,121
10,harris,10,0.0,2554.3,3362.4444444444443,1.316385876539343,101
11,harris,11,0.0,2496.8,3243.5,1.299062800384492,60
12,harris,12,0.0,3487.9,3272.6,0.938272312853006,31
13,harris,13,0.0,3986.5,3702.9,0.9288599021698232,72
14,harris,14,0.0,4385.2,3950.9,0.9009623278299737,48
15,harris,15,0.0,4162.5,4106.7,0.9865945945945945,36
16,harris,16,0.0,4129.0,3930.777777777778,0.9519926804983719,118
17,harris,17,0.0,4796.7,4347.111111111111,0.9062712096047515,119
18,harris,18,0.0,2826.4,3169.3333333333335,1.121332201151052,72
19,harris,19,0.0,4361.2,3895.1,0.893125745207741,66
20,harris,20,0.0,4482.8,4514.3,1.0070268582136166,61
21,harris,21,0.0,4503.1,4138.9,0.9191223823588194,58
22,harris,22,0.0,4321.4,4147.5,0.9597584116258621,49
23,harris,23,0.0,4440.7,4453.8,1.0029499853626682,17
24,harris,24,0.0,4344.3,4404.2,1.0137881822157768,71
25,harris,25,0.0,3974.7,3522.7,0.8862807255893527,74
26,harris,26,0.0,3711.1,3842.5,1.0354072916385977,72
27,harris,27,0.0,4252.0,4257.4,1.001269990592662,48
28,harris,28,0.0,3115.3,3469.8,1.1137932141366802,67
29,harris,29,0.0,3437.6,3471.1,1.0097451710495695,29
30,harris,30,0.0,3791.5,3932.8,1.0372675722009759,115
31,harris,31,0.0,4759.5,4224.0,0.8874881815316735,57
32,harris,32,0.0,2896.3,3263.7,1.1268515001898973,52
33,harris,33,0.0,3820.0,3752.777777777778,0.9824025596276905,76
34,harris,34,0.0,4045.6,4035.0,0.9973798694878386,83
35,harris,35,0.0,4806.8,4722.0,0.9823583257052508,27
36,harris,36,0.0,3026.2,3356.5,1.1091467847465468,22
37,harris,37,0.0,3689.9,3671.5,0.9950134149976964,27
38,harris,38,0.0,2933.1,3393.6,1.1570011250894958,34
