,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
0,harris,0,0.0,50.0,50.0,1.0,270
1,harris,1,0.0,50.0,50.0,1.0,86
2,harris,2,0.0,50.0,50.0,1.0,47
3,harris,3,0.0,50.0,50.0,1.0,85
4,harris,4,0.0,50.0,50.0,1.0,106
5,harris,5,0.0,50.0,50.0,1.0,25
6,harris,6,0.0,50.0,50.0,1.0,50
7,harris,7,0.0,50.0,50.0,1.0,51
8,harris,8,0.0,50.0,50.0,1.0,50
9,harris,9,0.0,50.0,50.0,1.0,121
10,harris,10,0.0,50.0,50.0,1.0,101
11,harris,11,0.0,50.0,50.0,1.0,60
12,harris,12,0.0,50.0,50.0,1.0,31
13,harris,13,0.0,50.0,50.0,1.0,72
14,harris,14,0.0,50.0,50.0,1.0,48
15,harris,15,0.0,50.0,50.0,1.0,36
16,harris,16,0.0,50.0,50.0,1.0,118
17,harris,17,0.0,50.0,50.0,1.0,119
18,harris,18,0.0,50.0,50.0,1.0,72
19,harris,19,0.0,50.0,50.0,1.0,66
20,harris,20,0.0,50.0,50.0,1.0,61
21,harris,21,0.0,50.0,50.0,1.0,58
22,harris,22,0.0,50.0,50.0,1.0,49
23,harris,23,0.0,50.0,50.0,1.0,17
24,harris,24,0.0,50.0,50.0,1.0,71
25,harris,25,0.0,50.0,50.0,1.0,74
26,harris,26,0.0,50.0,50.0,1.0,72
27,harris,27,0.0,50.0,50.0,1.0,48
28,harris,28,0.0,50.0,50.0,1.0,67
29,harris,29,0.0,50.0,50.0,1.0,29
30,harris,30,0.0,50.0,50.0,1.0,115
31,harris,31,0.0,50.0,50.0,1.0,57
32,harris,32,0.0,50.0,50.0,1.0,52
33,harris,33,0.0,50.0,50.0,1.0,76
34,harris,34,0.0,50.0,50.0,1.0,83
35,harris,35,0.0,50.0,50.0,1.0,27
36,harris,36,0.0,50.0,50.0,1.0,22
37,harris,37,0.0,50.0,50.0,1.0,27
38,harris,38,0.0,50.0,50.0,1.0,34
