,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
0,harris,0,0.0,2.0,2.0,1.0,270
1,harris,1,0.0,2.0,2.0,1.0,86
2,harris,2,0.0,2.0,2.0,1.0,47
3,harris,3,0.0,2.0,2.0,1.0,85
4,harris,4,0.0,2.0,2.0,1.0,106
5,harris,5,0.0,2.0,2.0,1.0,25
6,harris,6,0.0,2.0,2.0,1.0,50
7,harris,7,0.0,2.0,2.0,1.0,51
8,harris,8,0.0,2.0,2.0,1.0,50
9,harris,9,0.0,2.0,2.0,1.0,121
10,harris,10,0.0,2.0,2.0,1.0,101
11,harris,11,0.0,2.0,2.0,1.0,60
12,harris,12,0.0,2.0,2.0,1.0,31
13,harris,13,0.0,2.0,2.0,1.0,72
14,harris,14,0.0,2.0,2.0,1.0,48
15,harris,15,0.0,2.0,2.0,1.0,36
16,harris,16,0.0,2.0,2.0,1.0,118
17,harris,17,0.0,2.0,2.0,1.0,119
18,harris,18,0.0,2.0,2.0,1.0,72
19,harris,19,0.0,2.0,2.0,1.0,66
20,harris,20,0.0,2.0,2.0,1.0,61
21,harris,21,0.0,2.0,2.0,1.0,58
22,harris,22,0.0,2.0,2.0,1.0,49
23,harris,23,0.0,2.0,2.0,1.0,17
24,harris,24,0.0,2.0,2.0,1.0,71
25,harris,25,0.0,2.0,2.0,1.0,74
26,harris,26,0.0,2.0,2.0,1.0,72
27,harris,27,0.0,2.0,2.0,1.0,48
28,harris,28,0.0,2.0,2.0,1.0,67
29,harris,29,0.0,2.0,2.0,1.0,29
30,harris,30,0.0,2.0,2.0,1.0,115
31,harris,31,0.0,2.0,2.0,1.0,57
32,harris,32,0.0,2.0,2.0,1.0,52
33,harris,33,0.0,2.0,2.0,1.0,76
34,harris,34,0.0,2.0,2.0,1.0,83
35,harris,35,0.0,2.0,2.0,1.0,27
36,harris,36,0.0,2.0,2.0,1.0,22
37,harris,37,0.0,2.0,2.0,1.0,27
38,harris,38,0.0,2.0,2.0,1.0,34
39,harris,39,0.0,2.0,2.0,1.0,35
40,harris,40,0.0,2.0,2.0,1.0,69
41,harris,41,0.0,2.0,2.0,1.0,61
42,harris,42,0.0,2.0,2.0,1.0,171
43,harris,43,0.0,2.0,2.0,1.0,85
44,harris,44,0.0,2.0,2.0,1.0,264
45,harris,45,0.0,2.0,2.0,1.0,158
46,harris,46,0.0,2.0,2.0,1.0,93
47,harris,47,0.0,2.0,2.0,1.0,18
48,harris,48,0.0,2.0,2.0,1.0,56
49,harris,0,0.2,101.10859946113226,687.1637212385729,6.7962935388372125,270
50,harris,1,0.2,86.21878685703874,683.6887222991434,7.92969545526989,86
51,harris,2,0.2,73.12371727876015,772.66322032172,10.566519989351681,47
52,harris,3,0.2,100.21934541906852,779.7902861355808,7.780835954125198,85
53,harris,4,0.2,88.86555799279877,713.8998682040343,8.033482086073047,106
54,harris,5,0.2,35.90395061295483,719.173730628061,20.030490192590936,25
55,harris,6,0.2,65.14458757469926,643.0985136258768,9.871864072950894,50
56,harris,7,0.2,75.81301762882882,588.6013950648836,7.763856570735694,51
57,harris,8,0.2,146.77742886465165,611.8728425620637,4.168712092145258,50
58,harris,9,0.2,72.18134527041875,545.206463109789,7.553287640556412,121
59,harris,10,0.2,79.04838691495686,708.6433407213426,8.964678070960852,101
60,harris,11,0.2,75.31582169987666,526.0079524896779,6.984029923828598,60
61,harris,12,0.2,45.03631988860908,840.1482718838637,18.65490506244406,31
62,harris,13,0.2,35.384593390315615,632.4386314578438,17.873276781271013,72
63,harris,14,0.2,36.061058514584786,636.3050250155898,17.64521207158237,48
64,harris,15,0.2,141.72647353080748,953.9525896422487,6.7309414104266505,36
65,harris,16,0.2,59.17384946398531,686.0874116018804,11.594436018894637,118
66,harris,17,0.2,52.42696770698946,1009.2222811092566,19.25006013603013,119
67,harris,18,0.2,40.8237357654749,666.1067288687334,16.316652956392772,72
68,harris,19,0.2,128.85347702292603,757.9363613941009,5.882156841287616,66
69,harris,20,0.2,75.78959453614974,600.8460869605705,7.927817672569576,61
70,harris,21,0.2,46.16028515733821,419.24945758254535,9.082471136248955,58
71,harris,22,0.2,180.49127214079294,561.0094204275251,3.1082357267109706,49
72,harris,23,0.2,18.445297601003542,658.0552658038316,35.676044921499624,17
73,harris,24,0.2,50.85980756824047,687.5296344861827,13.518132831385548,71
74,harris,25,0.2,62.03273033233786,970.5263074440539,15.64539078393774,74
75,harris,26,0.2,38.663323916859056,954.2231138023733,24.680317601619514,72
76,harris,27,0.2,261.2055215582175,676.5406898604456,2.5900704005970185,48
77,harris,28,0.2,41.715305319206095,737.4567869626918,17.678326487596394,67
78,harris,29,0.2,77.4133951650251,535.9679823831591,6.923452733737045,29
79,harris,30,0.2,100.9485000114303,730.27812415132,7.234165183916861,115
80,harris,31,0.2,36.39230305474774,689.9782607938464,18.959455788106045,57
81,harris,32,0.2,50.86809544579016,697.0638701616415,13.703360899456094,52
82,harris,33,0.2,149.8602768147752,607.5788315129273,4.054302076753031,76
83,harris,34,0.2,42.58251679459828,571.9531753595389,13.431643275535395,83
84,harris,35,0.2,723.6415856071256,618.828966423175,0.8551594860375329,27
85,harris,36,0.2,58.31893915906811,515.5512005515864,8.840201965015039,22
86,harris,37,0.2,46.2491941871054,778.2283502126356,16.826852097449326,27
87,harris,38,0.2,38.117314266107876,610.595335673237,16.018844649192655,34
88,harris,39,0.2,9.682350543747734,1087.850383791739,112.35395567186997,35
89,harris,40,0.2,70.13214289333143,700.1200788650283,9.982870193056652,69
90,harris,41,0.2,180.05207482929865,961.4012977499857,5.339573557602478,61
91,harris,42,0.2,153.79181183644076,713.4849798386647,4.639291073555097,171
92,harris,43,0.2,65.5393024098933,569.6004195238459,8.690974706466566,85
93,harris,44,0.2,83.9627991000909,755.2439617195923,8.994983133176353,264
94,harris,45,0.2,166.3784734063327,778.1792170042881,4.6771628629131845,158
95,harris,46,0.2,144.9015311878552,585.8353579287766,4.042989422722386,93
96,harris,47,0.2,175.07835540572017,817.4249151439442,4.668909033613399,18
97,harris,48,0.2,276.0472943014348,623.7754902925269,2.259668916049523,56
98,harris,0,0.4,19.21101157946982,127.17389959559127,6.619843992572357,270
99,harris,1,0.4,16.093915518843453,122.83488456851065,7.6323803504927215,86
100,harris,2,0.4,13.060868491411123,138.1075153602951,10.574144855000657,47
101,harris,3,0.4,18.0914207786225,140.6688615709182,7.775445792357989,85
102,harris,4,0.4,15.775233995449463,130.67993586636837,8.283866718177645,106
103,harris,5,0.4,6.513621751372666,131.93982512666335,20.255985097516394,25
104,harris,6,0.4,11.985286420405174,115.45841827208665,9.63334660701279,50
105,harris,7,0.4,13.902089853154763,105.77840037906613,7.608812883270361,51
106,harris,8,0.4,28.041935963373653,110.71501277493944,3.9481943372079367,50
107,harris,9,0.4,13.021991092809241,102.08976829441502,7.839797122176586,121
108,harris,10,0.4,15.33275506796004,128.29475034040132,8.367364493318709,101
109,harris,11,0.4,13.85044670974151,96.55939768339634,6.971572809668492,60
110,harris,12,0.4,8.321956396012926,154.2331707158446,18.53328272541036,31
111,harris,13,0.4,6.449451543084945,116.57925198533258,18.07583965962625,72
112,harris,14,0.4,6.605423468332892,120.01064675565028,18.168501585249484,48
113,harris,15,0.4,25.73680087785807,174.1206172346664,6.765433592970997,36
114,harris,16,0.4,10.851280782907931,128.45432473203522,11.837710893479615,118
115,harris,17,0.4,9.744107849372265,187.12894072270208,19.204317482462727,119
116,harris,18,0.4,7.4656795347757905,122.32948545202646,16.385579488404904,72
117,harris,19,0.4,22.856711179295637,138.72868880817632,6.069494763264163,66
118,harris,20,0.4,13.611248897429963,112.77582623451613,8.285487032406714,61
119,harris,21,0.4,8.265321840957329,81.30718867136638,9.83714732903238,58
120,harris,22,0.4,32.26481225816035,102.61437424551039,3.180380329644019,49
121,harris,23,0.4,3.309915805915287,121.76388264962404,36.78760723520966,17
122,harris,24,0.4,9.071524743037475,128.60216131639504,14.176465914960882,71
123,harris,25,0.4,11.123279463489192,177.64716168622482,15.970754152975294,74
124,harris,26,0.4,7.095456608158197,174.9240022328159,24.652959195281696,72
125,harris,27,0.4,46.70654372697395,125.53461544788536,2.687730785255828,48
126,harris,28,0.4,7.542104732013458,137.00460643905066,18.16530150496539,67
127,harris,29,0.4,14.487431707817308,100.60034113737728,6.943973449972786,29
128,harris,30,0.4,18.452977069086906,135.76115985112017,7.357141308030571,115
129,harris,31,0.4,6.653117412097354,125.54554587569802,18.87018341919214,57
130,harris,32,0.4,9.304426319686113,126.16794417325448,13.559991754280535,52
131,harris,33,0.4,28.04115756336038,114.05947186563465,4.06757358742811,76
132,harris,34,0.4,7.8844417130141125,103.98563072327212,13.188711960624016,83
133,harris,35,0.4,134.52961064171282,113.8209236003176,0.8460659557207237,27
134,harris,36,0.4,10.56045398253318,95.80515720145823,9.072068053127111,22
135,harris,37,0.4,9.003596224729531,144.35492816469042,16.033029976200076,27
136,harris,38,0.4,7.181036228410124,112.2082689330658,15.625637493533244,34
137,harris,39,0.4,1.8776912971817765,194.24097688665378,103.44670456650127,35
138,harris,40,0.4,12.738553885516465,127.77313128262755,10.030426721191922,69
139,harris,41,0.4,32.320434234006655,174.89882554160957,5.411400857900168,61
140,harris,42,0.4,28.856721985420638,129.02923347357222,4.4713752843709,171
141,harris,43,0.4,12.65845471807494,110.1976996352062,8.705462245550043,85
142,harris,44,0.4,15.587257627880934,139.01638600287936,8.918591667736388,264
143,harris,45,0.4,30.50273582403625,142.9926036726226,4.687861590432947,158
144,harris,46,0.4,27.40761091888935,112.01978908256717,4.087178171569964,93
145,harris,47,0.4,31.652056728562183,146.9828781856783,4.643707024985958,18
146,harris,48,0.4,48.935793097884286,115.24320389055188,2.3549879667840585,56
147,harris,0,1.0,8.17422881130933,50.76185214107632,6.209986692670693,270
148,harris,1,1.0,6.55507180134398,45.49239251948006,6.940029628684281,86
149,harris,2,1.0,4.759431477768216,50.43400590008927,10.596645026968366,47
150,harris,3,1.0,6.792405819299181,52.566501071165405,7.739010664205139,85
151,harris,4,1.0,5.6471615400327115,50.891856033116476,9.011935584336353,106
152,harris,5,1.0,2.4785792849459902,51.690340723061844,20.854826406809178,25
153,harris,6,1.0,4.729601862501656,42.67534366776875,9.023030882602924,50
154,harris,7,1.0,5.435592429469274,39.2216843829515,7.215714734296418,51
155,harris,8,1.0,12.087113301695004,41.826358897587525,3.4604092684166465,50
156,harris,9,1.0,4.879545106428804,42.034840486870046,8.61449982939785,121
157,harris,10,1.0,6.79718182139568,48.499280762344256,7.1352042709350085,101
158,harris,11,1.0,5.4532733568708975,37.82132827711463,6.935527673385625,60
159,harris,12,1.0,3.3194468036977156,60.51907608011477,18.23167523356579,31
160,harris,13,1.0,2.4844831027389134,46.22314199067222,18.60473188153925,72
161,harris,14,1.0,2.5743864717040124,50.044534857625244,19.439402516942323,48
162,harris,15,1.0,9.818336369464841,67.25520509646097,6.849959358249893,36
163,harris,16,1.0,4.241562915619186,52.86486495568603,12.463534316800011,118
164,harris,17,1.0,3.9442874710642273,75.26303480711914,19.0815287575406,119
165,harris,18,1.0,2.900604047730709,47.9657424095382,16.536466756662033,72
166,harris,19,1.0,8.163939014413511,53.998331657197944,6.614249758831292,66
167,harris,20,1.0,5.037642186413871,46.499708783738214,9.230450886159463,61
168,harris,21,1.0,3.0334362579760805,36.14168326016663,11.914436364085821,58
169,harris,22,1.0,11.783478537513645,39.89978018266298,3.3860782328103576,49
170,harris,23,1.0,1.2221807333589112,48.73719040112249,39.87723670555532,17
171,harris,24,1.0,3.2922202714317663,52.83230232737141,16.047620745739156,71
172,harris,25,1.0,4.096537206062669,69.19892611415347,16.89205361341343,74
173,harris,26,1.0,2.7801239187009985,68.37190479918077,24.59311411957754,72
174,harris,27,1.0,17.063307348436783,50.57579087102836,2.9640086671510226,48
175,harris,28,1.0,2.8436611102942324,55.33993607839155,19.460805606567355,67
176,harris,29,1.0,5.91907848843816,41.65865192458367,7.038029991654318,29
177,harris,30,1.0,7.162806715140141,54.94926826926875,7.671471596898125,115
178,harris,31,1.0,2.582678200303744,48.13071404872892,18.63597022775364,57
179,harris,32,1.0,3.613780917419483,47.66911591413445,13.190925793081519,52
180,harris,33,1.0,11.536263262496899,46.83500649245959,4.0598073593478885,76
181,harris,34,1.0,3.154374392850472,39.75628668061448,12.60354090203238,83
182,harris,35,1.0,54.38110588769676,44.8782152901667,0.8252538185384714,27
183,harris,36,1.0,3.996160412838819,38.75242872647184,9.697415699822379,22
184,harris,37,1.0,4.045867064426408,58.14018556091147,14.370265912123868,27
185,harris,38,1.0,2.996084176480309,44.1527574757035,14.736821422545132,34
186,harris,39,1.0,0.8339594893538834,70.62234207881082,84.68318063450063,35
187,harris,40,1.0,4.857758186661888,49.37840374304462,10.164854207569364,69
188,harris,41,1.0,11.945248985826536,67.00782567021574,5.609579653778914,61
189,harris,42,1.0,11.922115116369845,48.67442963129171,4.082700859385138,171
190,harris,43,1.0,5.540142847421899,48.777098791170374,8.80430345110483,85
191,harris,44,1.0,6.2726938169073,54.929784819329505,8.756968923187802,264
192,harris,45,1.0,11.928492117049597,56.25196313800969,4.7157647912268645,158
193,harris,46,1.0,11.54841195558924,48.277457676838814,4.180441247029928,93
194,harris,47,1.0,11.929982985850783,54.58378094901302,4.575344408600629,18
195,harris,48,1.0,17.446332384434676,45.87744467453404,2.629632616392493,56
196,harris,0,2.0,6.849288882402197,40.22202121980716,5.872437549414679,270
197,harris,1,2.0,5.2279989101408235,34.0479050743789,6.512607531026011,86
198,harris,2,2.0,3.5096054805362407,37.37285218479359,10.648733138826563,47
199,harris,3,2.0,5.217667766663464,39.11276508936576,7.496216094720258,85
200,harris,4,2.0,4.071598201157366,40.10383822634025,9.84965515873855,106
201,harris,5,2.0,1.926483497965774,41.09857458807789,21.333468275993532,25
202,harris,6,2.0,3.788763079189343,31.818393092856315,8.398095216780957,50
203,harris,7,2.0,4.265368189727512,29.619373406227965,6.944153960157929,51
204,harris,8,2.0,10.22759464852029,32.16908475662286,3.145322616132135,50
205,harris,9,2.0,3.7150313831155577,34.65118073033232,9.327291523785892,121
206,harris,10,2.0,5.734915802294893,37.004981454917996,6.45257624185346,101
207,harris,11,2.0,4.318851791215354,29.602574254504525,6.854269534026812,60
208,harris,12,2.0,2.6703515319914692,48.207609857532915,18.052907746412362,31
209,harris,13,2.0,1.9502348432626178,37.13428346881399,19.04092914609746,72
210,harris,14,2.0,2.0127524369076504,40.27523803136914,20.010030688745385,48
211,harris,15,2.0,7.638574408708864,52.19263002173898,6.832771041967373,36
212,harris,16,2.0,3.313138366417564,43.38040797533721,13.093448922944818,118
213,harris,17,2.0,3.233903505451246,60.82145398458541,18.807442424321387,119
214,harris,18,2.0,2.2845141496104704,37.448792484018924,16.39245372605999,72
215,harris,19,2.0,5.861431280097447,42.481708724074764,7.247668136675399,66
216,harris,20,2.0,3.7940914715742964,37.5270310929175,9.890913641401024,61
217,harris,21,2.0,2.260640912998728,30.756296658561233,13.60512254808446,58
218,harris,22,2.0,8.68632619197019,31.676946885200948,3.6467599978554497,49
219,harris,23,2.0,0.9174772346457672,39.42722052047227,42.97351370870242,17
220,harris,24,2.0,2.411254687968837,43.40177866841199,17.999665852375074,71
221,harris,25,2.0,3.0409445585006565,54.90271809253176,18.054494922985917,74
222,harris,26,2.0,2.189795861360119,54.08861981493429,24.700302329249514,72
223,harris,27,2.0,12.546012782236179,40.960776890690454,3.264844186089668,48
224,harris,28,2.0,2.192614715700933,44.84671994210851,20.453534139385702,67
225,harris,29,2.0,4.71687221858601,34.40674380720376,7.294398112297807,29
226,harris,30,2.0,5.663791657050992,44.658427652972335,7.884899437883802,115
227,harris,31,2.0,2.0358827109950104,37.41612552187943,18.37833059822626,57
228,harris,32,2.0,2.826538608922381,36.309488490500556,12.845919873828846,52
229,harris,33,2.0,9.604583930037904,37.310585443244875,3.884664418055393,76
230,harris,34,2.0,2.518033886691433,30.536676580101254,12.127190480436653,83
231,harris,35,2.0,44.190274096184,35.812178415137225,0.8104086056852439,27
232,harris,36,2.0,3.0619241046101395,31.57769702228622,10.313024080101052,22
233,harris,37,2.0,3.5622614821192187,47.273340035107914,13.270597981758659,27
234,harris,38,2.0,2.4703576281924393,35.27754203398392,14.28033804959507,34
235,harris,39,2.0,0.7084585227585098,51.426541049114725,72.5893463019914,35
236,harris,40,2.0,3.733299239623874,38.74364767811452,10.377857544046723,69
237,harris,41,2.0,8.968180444422469,51.884242521482875,5.785370047248654,61
238,harris,42,2.0,9.764918375782933,37.4447257108227,3.8346173792589897,171
239,harris,43,2.0,4.602410536385331,42.02529962926006,9.131149708836306,85
240,harris,44,2.0,5.024490861333381,44.11784631888263,8.780560565528583,264
241,harris,45,2.0,9.480960736864859,44.90672371460336,4.736516157059101,158
242,harris,46,2.0,9.624844549541953,40.82364628417096,4.241486298717808,93
243,harris,47,2.0,9.15454066263975,41.252602464824584,4.506244931892544,18
244,harris,48,2.0,12.49125036799111,36.46376837416415,2.919144785345327,56
