,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
0,tasic,0,0.0,11223.7,11353.5,1.0115648137423487,68
1,tasic,1,0.0,11273.4,11229.3,0.9960881366757145,76
2,tasic,2,0.0,11532.6,12091.4,1.0484539479388861,115
3,tasic,3,0.0,10893.1,11766.1,1.0801424755120215,287
4,tasic,4,0.0,10018.7,10312.0,1.02927525527264,534
5,tasic,5,0.0,11208.8,11295.4,1.007726072371708,879
6,tasic,6,0.0,11218.9,11643.1,1.037811193610782,76
7,tasic,7,0.0,12376.1,12413.7,1.0030381137838253,68
8,tasic,8,0.0,11455.7,11862.5,1.0355107064605393,71
9,tasic,9,0.0,12834.1,12821.1,0.9989870734995052,48
10,tasic,10,0.0,13166.9,13268.5,1.0077163189513096,86
11,tasic,11,0.0,11240.3,11585.9,1.0307465103244575,49
12,tasic,12,0.0,10998.1,11537.2,1.049017557578127,56
13,tasic,13,0.0,10053.1,11157.1,1.1098168724075161,148
14,tasic,14,0.0,9002.6,10459.2,1.161797702885833,213
15,tasic,15,0.0,9657.1,10581.5,1.0957223182943119,80
16,tasic,16,0.0,10255.3,11200.3,1.0921474749641649,289
17,tasic,17,0.0,10309.1,11481.1,1.113685966767225,128
18,tasic,18,0.0,10714.6,11514.4,1.0746458103895618,118
19,tasic,19,0.0,11219.1,12024.1,1.0717526361294578,137
20,tasic,20,0.0,9947.8,10842.9,1.089979694002694,366
21,tasic,21,0.0,9534.3,10351.8,1.0857430540259905,115
22,tasic,22,0.0,11426.0,12662.7,1.1082356030106775,211
23,tasic,23,0.0,9228.0,10514.3,1.1393909839618552,116
24,tasic,24,0.0,9477.2,11069.444444444445,1.1680078973161319,289
25,tasic,25,0.0,11242.4,12083.8,1.074841670817619,242
26,tasic,26,0.0,10268.8,11478.4,1.1177937052041136,232
27,tasic,27,0.0,10346.5,10727.6,1.0368337118832456,207
28,tasic,28,0.0,10196.5,10753.3,1.0546069729809247,61
29,tasic,29,0.0,11025.1,10953.0,0.9934603767766278,179
30,tasic,30,0.0,12177.4,12896.3,1.0590355905201438,67
31,tasic,31,0.0,11589.8,11989.3,1.034469964969197,178
32,tasic,32,0.0,10207.2,11356.4,1.112587193353711,59
33,tasic,33,0.0,11329.7,11406.3,1.0067609910235926,74
34,tasic,34,0.0,12374.6,12445.4,1.0057213970552583,238
35,tasic,35,0.0,12073.4,12440.2,1.0303808372123844,63
36,tasic,36,0.0,11809.6,11655.7,0.9869682292372307,89
37,tasic,37,0.0,10121.3,10893.8,1.0763241876043592,115
38,tasic,38,0.0,10747.2,10432.8,0.9707458686913799,555
39,tasic,39,0.0,10250.4,10199.1,0.9949953172559121,203
40,tasic,40,0.0,11671.4,11877.9,1.0176928217694536,79
41,tasic,41,0.0,10998.3,11540.5,1.0492985279543203,208
42,tasic,42,0.0,12791.9,13006.9,1.0168075110030566,61
43,tasic,43,0.0,12216.1,12180.0,0.9970448833915898,126
44,tasic,44,0.0,12151.9,12503.8,1.0289584344834963,103
45,tasic,45,0.0,12559.1,12312.8,0.980388722121808,131
46,tasic,46,0.0,11425.6,11628.9,1.0177933762778322,80
47,tasic,47,0.0,10671.5,11084.4,1.03869184275875,71
48,tasic,48,0.0,12625.6,12886.6,1.0206722848815106,165
49,tasic,49,0.0,10615.1,10154.4,0.9565995610027225,36
50,tasic,50,0.0,10292.4,10935.2,1.062453849442307,129
51,tasic,51,0.0,11205.2,11348.3,1.0127708563881055,69
52,tasic,52,0.0,13139.4,13328.2,1.014368997062271,72
53,tasic,53,0.0,11916.7,12365.8,1.0376866078696283,112
54,tasic,54,0.0,11410.6,11118.3,0.9743834680034353,65
55,tasic,55,0.0,11959.7,12611.0,1.0544578877396589,200
56,tasic,56,0.0,11214.0,12003.333333333334,1.070388205219666,810
57,tasic,57,0.0,12256.1,12417.3,1.0131526341984807,63
58,tasic,58,0.0,11965.6,12603.7,1.0533278732366116,624
59,tasic,59,0.0,11423.9,11862.2,1.0383669324836529,89
60,tasic,60,0.0,10781.4,10918.7,1.0127348952826165,108
61,tasic,61,0.0,11747.2,11325.1,0.9640680332334514,212
62,tasic,62,0.0,12068.7,11798.2,0.9775866497634377,673
63,tasic,63,0.0,13902.2,13672.4,0.9834702421199522,125
64,tasic,64,0.0,13029.8,12438.9,0.9546501097484229,70
65,tasic,65,0.0,12713.7,11955.0,0.9403242171830387,119
66,tasic,66,0.0,10535.5,11335.5,1.0759337478050401,1404
67,tasic,67,0.0,11923.0,12021.4,1.0082529564706868,215
68,tasic,68,0.0,12347.1,12304.6,0.996557896186149,70
69,tasic,69,0.0,11029.2,10997.8,0.997153012004497,435
70,tasic,70,0.0,11683.2,11548.0,0.9884278279923308,49
71,tasic,71,0.0,11921.0,11977.5,1.0047395352738864,123
72,tasic,72,0.0,13173.7,12817.2,0.972938506266273,54
73,tasic,73,0.0,12248.9,12164.0,0.9930687653585221,412
74,tasic,74,0.0,12985.8,12977.3,0.9993454388639899,387
75,tasic,75,0.0,13724.9,13439.8,0.9792275353554488,184
76,tasic,76,0.0,13486.0,13060.9,0.968478422067329,704
77,tasic,77,0.0,13964.6,13279.5,0.9509402345931856,224
78,tasic,78,0.0,14915.2,14291.4,0.9581768933705213,72
79,tasic,79,0.0,13108.5,12425.0,0.9478582599076935,122
80,tasic,80,0.0,14396.9,13613.8,0.9456063458105564,230
81,tasic,81,0.0,13133.3,12270.2,0.9342815590902516,216
82,tasic,82,0.0,13098.6,12511.1,0.9551478783992182,174
83,tasic,83,0.0,11731.1,11584.75,0.9875246140600625,1049
84,tasic,84,0.0,10634.9,11474.1,1.0789100038552315,200
85,tasic,85,0.0,11206.5,11141.2,0.9941730245839469,380
86,tasic,86,0.0,12530.5,12566.6,1.0028809704321455,172
87,tasic,87,0.0,11016.9,10646.8,0.9664061578120887,75
88,tasic,88,0.0,12009.6,12176.1,1.0138639088729018,91
89,tasic,89,0.0,12876.8,12643.4,0.9818743787276342,22
90,tasic,90,0.0,12003.1,12122.2,1.0099224367038515,102
91,tasic,91,0.0,12624.6,12425.8,0.9842529664306195,109
92,tasic,92,0.0,12314.4,12463.1,1.0120752939647892,220
93,tasic,93,0.0,13053.1,12639.0,0.9682757352659521,203
94,tasic,94,0.0,13618.2,13335.3,0.9792263294708551,43
95,tasic,95,0.0,13611.7,13341.2,0.9801273904067824,122
96,tasic,96,0.0,10745.4,11375.9,1.0586762707763322,183
97,tasic,97,0.0,11680.3,11904.3,1.019177589616705,300
98,tasic,98,0.0,10167.0,11145.6,1.0962525818825613,180
99,tasic,99,0.0,11520.2,11831.1,1.0269873786913422,241
100,tasic,100,0.0,12346.2,12561.2,1.017414265118012,259
101,tasic,101,0.0,11660.4,11586.0,0.9936194298651848,98
102,tasic,102,0.0,11594.6,11852.2,1.0222172390595623,82
103,tasic,103,0.0,12286.4,11948.9,0.9725306029430916,65
104,tasic,104,0.0,11573.9,11398.7,0.9848624923318847,278
105,tasic,105,0.0,11686.0,12157.7,1.0403645387643334,318
