,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
0,tasic,0,0.2,969577364.0027443,2030331329.133596,2.0940374688118744,68
1,tasic,1,0.2,791305124.9394678,1774819071.183747,2.2429010191479737,76
2,tasic,2,0.2,634645801.8538933,1962296512.1002364,3.0919553968025646,115
3,tasic,3,0.2,1086587704.4433155,1816148376.2441914,1.6714236400959894,287
4,tasic,4,0.2,806758984.2521557,1483999339.8742247,1.8394580895183374,534
5,tasic,5,0.2,660811124.5184381,1553685497.7353423,2.35117939164172,879
6,tasic,6,0.2,903483321.2573435,1506358479.2679408,1.667278679999979,76
7,tasic,7,0.2,698058636.4973023,2071228539.1594758,2.967126872826077,68
8,tasic,8,0.2,775583266.9405243,2140324059.4617321,2.75963155820104,71
9,tasic,9,0.2,685537641.6359199,2147020080.3044677,3.1318777407772482,48
10,tasic,10,0.2,788497527.7537538,1855417888.7335887,2.3531055246542665,86
11,tasic,11,0.2,847898658.0454576,1990377741.3295624,2.3474240965514706,49
12,tasic,12,0.2,956120552.3901646,1900756513.7385724,1.9879883441339619,56
13,tasic,13,0.2,1013322784.2941554,1734905652.66035,1.7120957700253663,148
14,tasic,14,0.2,860117408.5434961,1995350220.0959404,2.3198579638968386,213
15,tasic,15,0.2,1084234915.1980054,1399676083.0892982,1.2909343385549303,80
16,tasic,16,0.2,1212555419.4933076,2025605077.5910022,1.6705257714632498,289
17,tasic,17,0.2,710340926.0687755,1760897317.6477597,2.478946732512029,128
18,tasic,18,0.2,945093033.5579817,1767278324.784764,1.8699517000263033,118
19,tasic,19,0.2,885357404.6822774,1879567990.365312,2.1229482923224894,137
20,tasic,20,0.2,900449277.9844013,1714446677.9355237,1.903990285575223,366
21,tasic,21,0.2,915240917.2797709,1791019944.8015876,1.9568836040730777,115
22,tasic,22,0.2,762678486.3042895,1621584374.603131,2.1261703374653207,211
23,tasic,23,0.2,830041594.5554329,1779568886.9740455,2.143951458152137,116
24,tasic,24,0.2,889323065.1774168,1399146378.72816,1.573271214380384,289
25,tasic,25,0.2,1065864679.0334113,1664451410.2742639,1.561597305000937,242
26,tasic,26,0.2,877773973.4239928,1658887510.87747,1.8898800387149035,232
27,tasic,27,0.2,827646147.4212048,2107781826.8168125,2.546718586662039,207
28,tasic,28,0.2,906301187.8073337,1992382937.680574,2.198367346842897,61
29,tasic,29,0.2,509689211.05952215,2291453567.3221297,4.495785897760608,179
30,tasic,30,0.2,783551711.7971232,1451903760.5334668,1.8529775874057346,67
31,tasic,31,0.2,967036001.1759446,1484983392.0321546,1.5356030077746543,178
32,tasic,32,0.2,859397179.1188297,1910098166.4219208,2.222602322689041,59
33,tasic,33,0.2,711717773.2279905,1458376614.5386071,2.049093993991679,74
34,tasic,34,0.2,1004393423.5260423,1831463894.927087,1.8234526949584313,238
35,tasic,35,0.2,819306112.9615822,1655481068.8951268,2.020589182364313,63
36,tasic,36,0.2,724791776.6908267,1511336174.4075675,2.085200498973453,89
37,tasic,37,0.2,753334227.1743485,1584763642.1016164,2.1036660554317885,115
38,tasic,38,0.2,723549949.0354804,1695329465.0418925,2.343071777286186,555
39,tasic,39,0.2,679409041.3064663,1634811598.5994077,2.406225851006861,203
40,tasic,40,0.2,794969315.036163,1726085939.7245522,2.171261087789323,79
41,tasic,41,0.2,720452042.032695,2130575544.2517548,2.95727601554229,208
42,tasic,42,0.2,680613742.3581787,1623101530.0313451,2.3847616188407406,61
43,tasic,43,0.2,824898309.3764645,1741013626.6355872,2.110579700365259,126
44,tasic,44,0.2,883706420.4007657,1645877421.2899933,1.862470819826769,103
45,tasic,45,0.2,710667598.3610827,1674399014.0102823,2.3560930846878683,131
46,tasic,46,0.2,830933285.8810456,1884818482.179308,2.2683150551380535,80
47,tasic,47,0.2,836313939.5207589,1891081538.1118202,2.261210113507716,71
48,tasic,48,0.2,688754367.4893224,1935648614.7007842,2.8103612928897936,165
49,tasic,49,0.2,963916374.9627132,1684525123.1249201,1.7475842997169562,36
50,tasic,50,0.2,666639848.0532466,1802867386.1192975,2.7044098719632745,129
51,tasic,51,0.2,817881616.2283773,1484964912.7277467,1.8156232922505249,69
52,tasic,52,0.2,773125767.4640839,1702946597.9654386,2.202677325774878,72
53,tasic,53,0.2,764969951.3789976,1638602338.1170201,2.142047978699217,112
54,tasic,54,0.2,687033765.538524,1487961184.2350214,2.165775917969183,65
55,tasic,55,0.2,787922027.4194114,1726907103.6977801,2.1917233477451017,200
56,tasic,56,0.2,842299441.8137195,1559522165.0947635,1.8515056376348198,810
57,tasic,57,0.2,759891722.7739086,1544580508.3586953,2.0326323633587675,63
58,tasic,58,0.2,783933016.1558894,1635920455.0124583,2.086811527640962,624
59,tasic,59,0.2,686435337.0278208,1853208139.8751667,2.699756320674466,89
60,tasic,60,0.2,765438263.5213974,1784096060.138235,2.330816403050593,108
61,tasic,61,0.2,763935417.3314334,1561702316.3931448,2.044285787728572,212
62,tasic,62,0.2,741868866.2506725,1570645663.8855453,2.1171472956176527,673
63,tasic,63,0.2,627304468.9600443,1462906397.6579027,2.332051611370047,125
64,tasic,64,0.2,618239872.5609615,1779111376.128666,2.8777040354239474,70
65,tasic,65,0.2,488297005.33842516,1477624844.030945,3.026078038317774,119
66,tasic,66,0.2,878590439.3836142,1533380013.0845735,1.7452728192220426,1404
67,tasic,67,0.2,877357158.9868482,1624274240.274004,1.8513261374075733,215
68,tasic,68,0.2,652128016.9686127,1398761689.6041324,2.1449188705404993,70
69,tasic,69,0.2,663795800.7772499,1609071894.2105334,2.424046509975573,435
70,tasic,70,0.2,635117327.5265186,1502765963.665532,2.366123389387114,49
71,tasic,71,0.2,798455157.9466867,1612903153.3970773,2.0200297253321415,123
72,tasic,72,0.2,656992540.8181473,1347208515.6634946,2.050568966865023,54
73,tasic,73,0.2,679753303.451225,1732965007.694682,2.5494028479098505,412
74,tasic,74,0.2,635010191.2463967,1374237489.5081964,2.164118794394222,387
75,tasic,75,0.2,592078949.2526653,1676772947.8109674,2.8320090588044486,184
76,tasic,76,0.2,625494057.7153085,1379008870.869384,2.204671417513346,704
77,tasic,77,0.2,534174660.02132636,1365682977.4194393,2.556622542456274,224
78,tasic,78,0.2,630289988.8316884,1584142612.1998158,2.513355186136143,72
79,tasic,79,0.2,625594692.2023027,1484152933.1683905,2.372387348658083,122
80,tasic,80,0.2,500269027.02578175,1540377482.741094,3.0790982441967363,230
81,tasic,81,0.2,646008169.9176854,1797486063.3544629,2.7824509767167482,216
82,tasic,82,0.2,853341507.3745543,1703725660.0328927,1.996534383138921,174
83,tasic,83,0.2,800640043.7539095,1555349846.4606605,1.942633095352303,1049
84,tasic,84,0.2,832212679.1725056,1297217235.515047,1.558756875471916,200
85,tasic,85,0.2,790462496.7886021,1676871477.8409402,2.1213801852125003,380
86,tasic,86,0.2,975853643.1590602,1589977052.0056715,1.6293191741935338,172
87,tasic,87,0.2,879753682.729595,1821972656.8112416,2.071003159837015,75
88,tasic,88,0.2,481569307.47647285,1596679491.6334777,3.315575695636466,91
89,tasic,89,0.2,539309003.0528268,1530317358.5608354,2.8375520339884566,22
90,tasic,90,0.2,548274059.4760565,1514070844.1030686,2.7615219395022086,102
91,tasic,91,0.2,734408723.3721424,1508635187.186812,2.0542174121512313,109
92,tasic,92,0.2,565741396.237242,1278541700.5164204,2.2599401582066085,220
93,tasic,93,0.2,562704685.9243858,1657778191.9113796,2.946089189195318,203
